song_title,artist,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,cluster_label_kmeans
Mask Off,Future,-0.6833525435210782,1.3344735199872595,-0.5071717081017225,-1.1796858894705675,-0.4074842715500558,-0.1653129554763507,-0.4578881523328811,3.805626220206693,1.066550170635277,-0.8553517377669025,0
Redbone,Childish Gambino,0.043461246465198,0.7752909579617197,0.984749301680476,-1.5364406511823194,-0.4653105469733245,-0.3455527607897374,-0.8852683542690916,-0.1444385106810293,1.4422579101381687,0.3670418484361542,2
Xanny Family,Future,-0.5901910301859729,1.3655392178775674,-0.7375826653889228,-1.284333952906015,-0.4868296853132312,-0.2039357709006479,-0.0195972478565806,2.2103213516456672,-1.746027735963664,-1.312737417372682,0
Master Of None,Beach House,1.6025692175692332,-0.771780796975608,-0.5704301443187716,-1.63633198446161,1.3800397964738509,-0.6339364492911561,-2.171932909911418,-0.7432395634578086,-1.3177186634079263,-1.0820207471290584,1
Parallel Lines,Junior Boys,-0.0296820904507937,0.3714368853877188,1.7891692848839766,-0.5755811596386672,1.387364213880218,1.598462282233219,-1.217113380305489,-0.2567839239599748,1.9641846082341436,1.6461026869797502,4
Sneakin’,Drake,-0.704179146295579,1.154292472223475,0.0627639964927164,-0.5803378897948239,-0.4876866421497762,-0.1717500913804002,0.1044122005259061,1.0419290535446346,-1.3718946621686972,-0.944400277159178,2
Childs Play,Drake,-0.6667990514821958,0.7504383996494735,-0.0583746283277864,-0.9989301435366132,-0.487660017892504,0.1050467524937291,-1.098958455237197,0.7161273550356929,-1.5590924212085076,-0.7663031983746268,2
Gyöngyhajú lány,Omega,-0.6448560504073984,-2.188376620773643,1.262003454169081,-1.5887646829000432,1.9440199367641229,-0.1974986349965983,-1.2067349071575986,-0.6196596088509686,0.8450471943870888,-0.4222520234499253,4
I've Seen Footage,Death Grips,-0.5374508346202314,-0.0945485829668983,-0.5284773738181645,1.2462464901693455,-0.4876866421497762,0.9740600995404152,0.9176587118067648,2.861924748663551,0.3156970722394649,-0.4020137190425898,0
Digital Animal,Honey Claws,-0.7146116959293862,1.3531129387214442,-0.2359421685861698,-0.3757984930800864,-0.4876866421497762,2.448164221567756,-0.1909751121448244,1.626125202595151,-0.8106013213745845,-0.4505856496201948,0
